forecast_month,market_return,return_lag1,return_lag2,return_lag3,momentum_3,volatility_3,momentum_6,volatility_6,momentum_12,volatility_12,ma_gap_3,ma_gap_6,ma_gap_10,term_spread_lag1,unemployment_lag2,inflation_yoy_lag2
2006-07-31,0.004468024489378664,0.002604935714100698,-0.030583612116460657,0.012552452248395518,-0.015307849431486664,0.07824516395523168,0.030848503620424905,0.06590014380234512,0.08726821740097401,0.07653292258655055,-0.008517564429744606,-0.005592733754479551,0.01416440612571912,0.11536363636363678,4.6,3.9772727272727293
2006-08-31,0.0215878045670177,0.004468024489378664,0.002604935714100698,-0.030583612116460657,-0.023236429787122592,0.0683164407098883,0.011182545176701808,0.05795739485843325,0.05188991863602599,0.0688825104705524,0.0038501210478427694,-0.0029753251520854285,0.013473023545333307,-0.14766129032258046,4.6,4.1817243159525175
2006-09-30,0.026643317978957803,0.0215878045670177,0.004468024489378664,0.002604935714100698,0.029075436613239525,0.036246579964966066,0.02736656589628872,0.06447631902650977,0.08501658922101907,0.06916514820687186,0.01594208213405124,0.014195065410493646,0.025718186256902476,-0.36992987377279096,4.7,4.104669061056954
2006-10-31,0.031030362568226444,0.026643317978957803,0.0215878045670177,0.004468024489378664,0.05411246454936114,0.040258880439326766,0.037976269658186235,0.07038224019251314,0.10544202896643018,0.07197369959364046,0.025072590217747326,0.035006089129074214,0.04483345390692861,-0.5356666666666667,4.7,3.926568077511483
2006-11-30,0.01969027860901118,0.031030362568226444,0.026643317978957803,0.0215878045670177,0.08248733939185637,0.016368645496358483,0.057334198334628494,0.07873291757781434,0.16790388368182696,0.06579662758964297,0.029723282882105906,0.05742341659668648,0.0653805911232781,-0.5161136712749617,4.5,2.012072434607637
2006-12-31,0.013282540827280975,0.01969027860901118,0.031030362568226444,0.026643317978957803,0.08043523913863027,0.01980850428024842,0.11184936544891588,0.04038907052334043,0.14097948825237738,0.05781439513779352,0.023525220490268284,0.0592969422837093,0.07439819474631304,-0.6504285714285718,4.4,1.4063284781516971
2007-01-31,0.01492837365499522,0.013282540827280975,0.01969027860901118,0.031030362568226444,0.06609579107773267,0.031133319265052375,0.12378486177864945,0.03297175900234489,0.1584519431558069,0.056085150154009104,0.015444868714548532,0.052715153640220835,0.07576453915935444,-0.6735645161290327,4.5,1.9687026754164672
2007-02-28,-0.019812202979201388,0.01492837365499522,0.013282540827280975,0.01969027860901118,0.049066995136561875,0.011527671748213234,0.1356017404091865,0.023531151158262414,0.14830065817405336,0.05479686834967763,0.01441627554729985,0.04629798151000619,0.07901845414164765,-0.48886328725038375,4.4,2.5239777889954462
2007-03-31,0.011521924959701835,-0.019812202979201388,0.01492837365499522,0.013282540827280975,0.008434079626747915,0.06789519126108967,0.0895477159770699,0.062476681160435595,0.11936489534350736,0.06306983861752213,-0.008233494089486038,0.011559068611534551,0.04892746164679451,-0.5362969924812022,4.6,2.075765178123423
2007-04-30,0.043342692335278876,0.011521924959701835,-0.019812202979201388,0.01492837365499522,0.006660176623860092,0.0663376082065326,0.07319617734426398,0.05885818537858114,0.1139521647712245,0.06267025951335047,0.0010447785050675673,0.011515661990730175,0.047924713901574156,-0.6922287390029327,4.5,2.420260782347028
2007-05-31,0.03335772015713623,0.043342692335278876,0.011521924959701835,-0.019812202979201388,0.035673991520651205,0.10938856989873397,0.08649140222565843,0.07003952471696737,0.14878451576973295,0.07151733902218921,0.03298796385409486,0.04172178515943026,0.07626028361156378,-0.5558571428571426,4.4,2.798197295943927
2007-06-30,-0.014728785862655691,0.03335772015713623,0.043342692335278876,0.011521924959701835,0.09223093887763079,0.056374867763448765,0.10144290158692248,0.0752587376226279,0.2246385912076323,0.057654300584230045,0.03685687711526442,0.05954013036294392,0.09119787859819484,-0.5071847507331384,4.5,2.5929247633283525
2007-07-31,-0.03181094553366215,-0.014728785862655691,0.03335772015713623,0.043342692335278876,0.06393215695877075,0.10755750378920993,0.07101813303992044,0.08724928546692512,0.20359396460069434,0.06453383352049917,0.001207689840362569,0.03213961519958741,0.05848780995640279,-0.15114285714285813,4.4,2.709885742672613
2007-08-31,0.012751722875214533,-0.03181094553366215,-0.014728785862655691,0.03335772015713623,-0.013095509037189368,0.11705611669738826,0.0221113134051103,0.1058197590044125,0.16071138639476268,0.07968354772287627,-0.025962016256390275,-0.0037682603817995597,0.015363355823416969,-0.2541013824884786,4.6,2.692765113974227
2007-09-30,0.037982966642679195,0.012751722875214533,-0.03181094553366215,-0.014728785862655691,-0.03322356871918275,0.07788208979267854,0.055943129222612464,0.09824514267957693,0.1505004246461774,0.07906193414613648,-0.002185627538014656,0.00010630535163858035,0.02008437518365147,-0.34747545582047756,4.7,2.3178905864958077
2007-10-31,0.013475810225560991,0.037982966642679195,0.012751722875214533,-0.03181094553366215,0.01910393284872569,0.1224225245177665,0.08425744544091085,0.10660020887584074,0.16362094570424257,0.08215539544882472,0.029774147530822193,0.025032689569966626,0.04891699165711283,-0.4164210526315788,4.6,1.897448478900876
2007-11-30,-0.039502885747960015,0.013475810225560991,0.037982966642679195,0.012751722875214533,0.06631683455895354,0.049754209474118925,0.0523528728154794,0.09416414725969659,0.14337234842149038,0.07970475146985226,0.021639208396169396,0.03006606801801981,0.052398231371312054,-0.227756598240469,4.7,2.8338264299802685
2007-12-31,-0.011324044352361007,-0.039502885747960015,0.013475810225560991,0.037982966642679195,0.012027648475746888,0.13719621178014935,-0.021595521649099947,0.10388633171250083,0.07765666756045464,0.09357174697229649,-0.021737717847160387,-0.0062113901180177455,0.006999708173471175,-0.33816666666666606,4.7,3.610698365527476
2008-01-31,-0.06236648277369472,-0.011324044352361007,-0.039502885747960015,0.013475810225560991,-0.03666217109836545,0.09182398506424318,-0.018258629904391532,0.10312279872992107,0.05146280932785219,0.0947768688778992,-0.020737255558411993,-0.014399714145151732,-0.00962244714691185,-0.14701612903225847,4.7,4.373267326732666
2008-02-29,-0.02618212961984412,-0.06236648277369472,-0.011324044352361007,-0.039502885747960015,-0.10702207001543262,0.08856773330450725,-0.047802600367849335,0.1292932681234099,-0.026748265241051783,0.11465087134683404,-0.04483723601749401,-0.06675985766271597,-0.06785413485037173,-0.19603686635944717,5.0,4.108813392417532
2008-03-31,-0.008982694892338827,-0.02618212961984412,-0.06236648277369472,-0.011324044352361007,-0.09504734968592543,0.0909439457135441,-0.0841628973207521,0.12585583165929207,-0.032928103938704045,0.11588506305637654,-0.03818879629908101,-0.07803930413101023,-0.08426225538793919,0.7568103448275862,5.0,4.294695655165981
2008-04-30,0.04656101777906407,-0.008982694892338827,-0.02618212961984412,-0.06236648277369472,-0.09292605691198363,0.09439233842500037,-0.12618135701234556,0.09157120233622662,-0.052555630375562434,0.11493259137458227,-0.01471800410449886,-0.06573910320074394,-0.08080461250029591,0.8996774193548389,4.9,4.142959270611968
